Date,Open,High,Low,Close,Volume
2022-06-22,4410,4410,4310,4320,106208500
2022-06-21,4430,4430,4380,4380,103964600
2022-06-20,4400,4410,4340,4400,95058800
2022-06-17,4370,4400,4350,4370,185763100
2022-06-16,4420,4530,4410,4430,240023000
2022-06-15,4360,4450,4360,4450,160729900
2022-06-14,4300,4410,4300,4360,150381800
2022-06-13,4260,4350,4260,4340,164017200
2022-06-10,4470,4470,4360,4400,222410400
2022-06-09,4500,4520,4480,4490,161768800
2022-06-08,4400,4470,4380,4470,150604000
2022-06-07,4460,4460,4400,4400,133318000
2022-06-06,4470,4510,4400,4430,157277700
2022-06-03,4530,4570,4510,4520,117643300
2022-06-02,4540,4600,4480,4480,225697500
2022-05-31,4470,4630,4450,4630,379626500
2022-05-30,4540,4540,4390,4430,193724500
2022-05-27,4500,4540,4440,4540,209962100
2022-05-25,4430,4450,4350,4350,138961700
2022-05-24,4320,4500,4320,4460,165758600
2022-05-23,4410,4440,4320,4330,175709000
2022-05-20,4440,4490,4410,4430,122101000
2022-05-19,4350,4460,4300,4440,132614900
2022-05-18,4500,4530,4430,4450,129716500
2022-05-17,4270,4520,4270,4450,272650400
2022-05-13,4250,4360,4250,4250,336711300
2022-05-12,4490,4490,4300,4320,207373600
2022-05-11,4550,4580,4480,4490,205233800
2022-05-10,4260,4530,4260,4530,435782800
2022-05-09,4750,4760,4530,4530,561600400
2022-04-28,4870,4930,4860,4870,193821200
2022-04-27,4900,4930,4850,4850,191955100
2022-04-26,4840,4980,4830,4940,262734300
2022-04-25,4700,4850,4670,4840,235752400
2022-04-22,4750,4850,4720,4750,174349500
2022-04-21,4850,4850,4760,4800,208253300
2022-04-20,4610,4870,4600,4850,404383100
2022-04-19,4550,4600,4540,4570,148475600
2022-04-18,4550,4580,4540,4550,82795100
2022-04-14,4600,4610,4530,4540,150659600
2022-04-13,4640,4640,4590,4610,112327600
2022-04-12,4550,4610,4550,4610,96961200
2022-04-11,4600,4620,4570,4570,109861100
2022-04-08,4630,4650,4600,4610,125657900
2022-04-07,4670,4670,4620,4630,91942500
2022-04-06,4690,4690,4600,4600,111009800
2022-04-05,4730,4740,4670,4700,76154300
2022-04-04,4730,4730,4660,4700,103902000
2022-04-01,4690,4730,4630,4730,145105000
2022-03-31,4700,4750,4660,4660,158650000
2022-03-30,4740,4740,4690,4710,83364400
2022-03-29,4750,4750,4670,4690,93155100
2022-03-28,4730,4740,4670,4730,106801800
2022-03-25,4760,4760,4650,4710,137104800
2022-03-24,4640,4730,4620,4730,206271600
2022-03-23,4680,4690,4620,4650,146545100
2022-03-22,4690,4710,4640,4640,177758500
2022-03-21,4600,4630,4560,4590,118791900
2022-03-18,4700,4700,4580,4580,257863400
2022-03-17,4690,4700,4610,4650,224068000
2022-03-16,4650,4660,4610,4650,226817000
2022-03-15,4550,4640,4530,4610,357755700
2022-03-14,4440,4540,4410,4520,212052100
2022-03-11,4400,4440,4370,4400,275965300
2022-03-10,4640,4640,4510,4570,225575800
2022-03-09,4530,4590,4500,4570,191967100
2022-03-08,4500,4560,4430,4430,214870200
2022-03-07,4580,4630,4520,4520,224515800
2022-03-04,4720,4730,4610,4670,292022600
2022-03-02,4680,4690,4550,4560,186635200
2022-03-01,4850,4860,4630,4630,494657800
2022-02-25,4450,4550,4410,4550,301346400
